MS:  	 1823: 
 gospel 	 gospel, 
 "now 	 now 
 "the university & 	 the university; and 
 "pulled down 	 pulled down, 
 "of countenance.—Aye, Aye, 	 of countenance.—Ay, ay,” 
 "he 	 he, 
[DELstart] countenance[DELend][ADDstart] ^[ADDend][ADDstart] face[ADDend] pressive 	 face expressive 
suffering "Mr. [DELstart] f[DELend] stein 	 suffering, “M. Frankenstein 
 modest 	 modest; 
 "a 	 a 
 man; 	 man. 
 "diffident 	 diffident 
 themselves 	 themselves, 
know M "Clerval; 	 know, M. Clerval; 
 young 	 young: 
 "one soon grows 	 that wears 
of that."  	 in a very short time.”     M. 
[DELstart] the subject of his own praise[DELend] an 	 an 
himself  and that 	 himself, which 
 the 	 a 
[DELstart] painful[DELend][ADDstart] agonizing[ADDend] Clerval 	 annoying to me.     Clerval 
  	[NO 1823 VARIANT]
 minutiæ 	 minutæ 
[DELstart] La[DELend] guages 	 Languages 
[DELstart] chief[DELend][ADDstart] ^[ADDend][ADDstart] principal[ADDend]  study for 	 principal study; and 
 wished 	 sought, by acquiring their elements, 
[DELstart] ^him[DELend][ADDstart] ^[ADDend][ADDstart] him[ADDend] tion 	 self-instruction 
– [DELstart] Greek[DELend][DELstart] &[DELend]  Arabic & Hebrew 	 to Geneva. Persian, Arabic, and Hebrew, 
atten[DELstart] when[DELend][ADDstart] Xso soon as X[ADDend]  	 attention, after 
 become 	 made himself 
 the 	[NO 1823 VARIANT]
& Latin langua ges. 	 and Latin. 
 part 	 part, 
 me 	 me; 
reflec tion 	 reflection, 
studies [DELstart] a[DELend]  	 studies, 
 found 	 felt 
 fellow pupil 	 fellow-pupil 
[DELstart] fr[DELend]  friend 	 friend, 
 I 	 found 
 a 	[NO 1823 VARIANT]
found [DELstart] instruct[DELend][ADDstart] not only[ADDend] tion 	 instruction 
[DELstart] There is something soothing[DELend] Their 	 Their 
 soothing 	 soothing, 
 before 	[NO 1823 VARIANT]
[DELstart] reading[DELend][DELstart] any[DELend][ADDstart] ^[ADDend][ADDstart] studying[ADDend][ADDstart] ^[ADDend] the 	 studying the 
of[ADDstart] any[ADDend]  	 of any 
[DELstart] books.[DELend][ADDstart] ^[ADDend][ADDstart] country.[ADDend] When 	 country. When 
read[DELstart] s[DELend]  	 read 
[DELstart] li[DELend]  writings 	 writings, 
 gardens 	 garden 
 roses – in 	 roses,—in 
&[DELstart] tears[DELend]  	 and frowns 
 enemy 	 enemy, 
 heart 	 heart. 
man[DELstart] warlike[DELend][ADDstart] ^[ADDend][ADDstart] l[ADDend] heroical 	 manly and heroical 
& Rome. Summer 	 and Rome.     Summer 
[DELstart] studies[DELend] & 	 occupations, and 
Autum[ADDstart] n[ADDend]  	 autumn; 
  	[NO 1823 VARIANT]
 accidents 	 accidents, 
 & 	 and 
[DELstart] and[DELend]  	[NO 1823 VARIANT]
 impassable 	 impassable, 
[DELstart] delayed[DELend][ADDstart] ^[ADDend][ADDstart] journey[ADDend]  untill 	 journey was retarded until 
[ADDstart] ^[ADDend][ADDstart] ensuing[ADDend]  	 ensuing 
bitterly [ADDstart] ^[ADDend][ADDstart] for[ADDend]  	 bitterly; for 
[ADDstart] t[ADDend] own 	 town, 
friends [DELstart] and[DELend]  my 	 friends. My 
 town 	 place, 
winter [ADDstart] ^[ADDend][ADDstart] however[ADDend]  	 winter, however, 
[DELstart] however[DELend][DELstart] a[DELend][DELstart] one[DELend][ADDstart]  spent[ADDend][ADDstart] ly[ADDend]  	 spent cheerfully; 
 late 	 late, 
[DELstart] Ma[DELend]  	    
 was 	 had 
[DELstart] finis[DELend][DELstart] end[DELend] pleated, 	 commenced, 
 daily 	[NO 1823 VARIANT]
 that 	 daily which 
[DELstart] return[DELend][ADDstart] ^[ADDend][ADDstart] departure,[ADDend]  When 	 departure, when 
 Ingolstadt 	 Ingolstadt, 
in habited.– 	 inhabited. 
 acceeded 	 acceded 
propos[ADDstart] ^[ADDend][ADDstart] ition[ADDend] – 	 proposition: 
 Exercise 	 exercise, 
[ADDstart] ^[ADDend][ADDstart] the[ADDend]  	 the 
coun  	 country. 
 try. 	[NO 1823 VARIANT]
 perambulations. My 	 perambulations: my 
 restored 	 restored, 
 vigour 	 strength 
air[DELstart] ,X[DELend][ADDstart] X[ADDend]  	 air 
 the 	 the 
progress  	 progress, 
 rendered 	 secluded 
unsocia[DELstart] ble[DELend][ADDstart] l,[ADDend][ADDstart] had[ADDend]  shunned 	 from 
[DELstart] face[DELend] company 	 intercourse 
 fellow beings But 	 fellow-creatures, and rendered me unsocial; but 
 heart. 	 heart; 
 nature 	 nature, 
 Friend! How 	 friend! how 
 me 	 me, 
 mind untill 	 mind, until 
persuit[DELstart] e[DELend]  	 pursuit 
[ADDstart] ^[ADDend][ADDstart] me[ADDend]  untill 	 me, until 
gentle  ness & 	 gentleness and 
 & 	 and 
[ADDstart] ^[ADDend][ADDstart] my senses[ADDend]  	 my senses; 
[DELstart] now[DELend][ADDstart] ^[ADDend][ADDstart] now[ADDend]  	[NO 1823 VARIANT]
 who 	 who, 
 & 	 and 
care – [DELstart] I[DELend][DELstart] and[DELend][DELstart] in[DELend]  	 care. When happy, 
 had 	 had 
bes[DELstart] bo[DELend] towing 	 bestowing 
  — 	 sensations. 
[DELstart] filled[DELend]  	[NO 1823 VARIANT]
verdant[DELstart] s[DELend]  	 verdant 
extasy.–[ADDstart] T[ADDend][ADDstart] ^[ADDend][ADDstart] present[ADDend]  	 ecstasy. The present 
 divine – 	 divine; 
[DELstart] blossomed[DELend][ADDstart] ^[ADDend][ADDstart] bloomed[ADDend]  	 bloomed 
 hedges 	 hedges, 
 bud– 	 bud: 
[DELstart] dis[DELend]  	[NO 1823 VARIANT]
 not disturbed 	 undisturbed 
 that 	 which 
 preceeding 	 preceding 
me not withstand ing 	 me, notwithstanding 
off with 	 off, with 
burthen.[DELstart] a[DELend]  	 burden.     Henry 
[DELstart] im[DELend]  	[NO 1823 VARIANT]
 gaiety 	 gaiety, 
[DELstart] joy[DELend][ADDstart] feelings[ADDend]  – 	 feelings: 
exer ted 	 exerted 
 feelings 	 sensations 
[DELstart] al[DELend]  	[NO 1823 VARIANT]
[DELstart] mind[DELend][ADDstart] ^[ADDend][ADDstart] soul[ADDend] . 	 soul. 
astonishing.  his 	 astonishing: his 
 imagination 	 imagination; 
persi an& 	 Persian and 
[DELstart] great[DELend][ADDstart] ^[ADDend][ADDstart] wonderful[ADDend]  	 wonderful 
 interrest. 	 passion. 
 poems 	 poems, 
 arguments 	 arguments, 
ingenuity. We 	 ingenuity.     We 
[ADDstart] ^[ADDend] to 	 to 
colledge  	 college 
 sunday – 	 Sunday afternoon: 
pea  sants 	 peasants 
 dancing 	 dancing, 
 joyful 	 gay 
 happy – my 	 happy. My 
 high 	 high, 
[DELstart] a[DELend]  	[NO 1823 VARIANT]
[DELstart] hilarity[DELend]  	 unbridled 
  	[NO 1823 VARIANT]
 On 	 O N , 
 return 	 return, 
father.  You 	 father:—      ”To  V. F RANKENSTEIN .     “ MY DEAR VICTOR,      “You 
impati[DELstart] the[DELend]  	 impatiently 
[DELstart] the[DELend][ADDstart] a[ADDend]  	 a 
[DELstart] which was[DELend]  	[NO 1823 VARIANT]
lines [DELstart] only[DELend][DELstart] to[DELend][DELstart] fix[DELend][DELstart] that[DELend] merely 	 lines, merely 
day[DELstart] date[DELend] on 	 day on 
you  – but 	 you. But 
[DELstart] very[DELend][ADDstart] ^[ADDend][ADDstart] a[ADDend]  	 a 
[ADDstart] ^[ADDend][ADDstart] kindness[ADDend] and 	 kindness, and 
[ADDstart] ^[ADDend][ADDstart] be[ADDend]  	 be 
[DELstart] be[DELend] , 	 surprise, 
son[DELstart] e[DELend] , 	 son, 
 your 	 you 
 welcome 	 welcome, 
[DELstart] heho[DELend][ADDstart] e[ADDend] ld 	 behold, 
 contrary 	 contrary, 
wretched ness. 	 wretchedness? 
 absence 	 Absence 
 griefs 	 griefs; 
 can 	 shall 
 child.? 	 child? 
woeful  news 	 woful news, 
 page 	 page, 
tidings. William 	 tidings.     “William 
 dead! That 	 dead!—that 
 child 	 child, 
 & 	 and 
 me 	 my heart, 
 gentle 	 gentle, 
 gay, 	 gay! 
Murdered! I 	 murdered!     “I 
[DELstart] o[DELend]  	[NO 1823 VARIANT]
 you 	 you; 
  	[NO 1823 VARIANT]
 Last thurday 	 “Last Thursday 
[DELstart] 26[DELend][DELstart] yourmy[DELend][DELstart] cousin[DELend][ADDstart] my[ADDend] my niece 	 7th) I, my niece, 
 brothers 	 brothers, 
[DELstart] fat[DELend]  	[NO 1823 VARIANT]
[DELstart] ale[DELend]  	[NO 1823 VARIANT]
[DELstart] When[DELend] and 	 returning; and 
[DELstart] found[DELend][ADDstart] ^[ADDend][ADDstart] discovered[ADDend]  	 discovered 
 Ernest 	 William 
 William 	 Ernest, 
 untill 	 until 
came [DELstart] up[DELend] enquired for 	 came, and inquired if we had seen 
 brother 	 brother; 
 said 	 said, 
 he 	 they 
with [DELstart] them[DELend] and 	 together, 
 himself 	 himself, 
had [DELstart] wai[DELend][DELstart] fo[DELend][ADDstart] vainly[ADDend]  	 vainly sought 
 him & 	 him, and 
wai  ted 	 waited for him 
 time 	 time, 
return. This 	 return.     “This account 
 us 	 us, 
[DELstart] sought[DELend] continued 	 continued 
him untill 	 him until 
fell[DELstart] l[DELend] ; 	 fell, 
house: [DELstart] but[DELend]  he 	 house. He 
 there – 	 there. 
 again 	 again, 
 torches 	 torches; 
 rest 	 rest, 
 child 	 boy 
 & 	 and 
[DELstart] We found him[DELend][DELstart] four[DELend][ADDstart] A[ADDend] in 	 About five in 
 boy 	 boy, 
  	[NO 1823 VARIANT]
 & 	 and 
health stretch  ed 	 health, stretched 
 motionless– 	 motionless: 
 murderers 	 murderer’s 
neck. He 	 neck.     “He 
 home 	 home, 
[DELstart] extreme[DELend][DELstart] wh[DELend][DELstart] misery[DELend][DELstart] agony[DELend][ADDstart] anguish[ADDend]  	 anguish 
 revealed 	 betrayed 
  	 very 
[DELstart] which[DELend][DELstart] refused[DELend][ADDstart] ^[ADDend] At 	 At 
her  	 her; 
[DELstart] [DELend]  	[NO 1823 VARIANT]
lay [DELstart] quickly[DELend]  	 lay, 
 victim 	 victim, 
[DELstart] hads[DELend][DELstart] Go[DELend]  Oh 	 hands exclaimed, ‘O 
[DELstart] this sweet[DELend][DELstart] babe[DELend][DELstart] .[DELend]  	[NO 1823 VARIANT]
 She fainted 	 infant!’     “She fainted, 
 retored 	 restored 
difficulty; [DELstart] and[DELend]  when 	 difficulty. When 
 lived 	 lived, 
 sigh– 	 sigh. 
 me 	 me, 
[DELstart] we[DELend][DELstart] we[DELend]  	[NO 1823 VARIANT]
 Mother. 	 mother. 
 gone 	 gone, 
[DELstart] of[DELend][DELstart] Come my dear Victor[DELend][DELstart] him[DELend]  	 of him 
[DELstart] but[DELend][ADDstart] altho[ADDend]  	 present, although 
[DELstart] are[DELend] to 	 to 
him are 	 him are 
William. Come, 	 William.     “Come, 
 Victor, 	 Victor; 
  	[NO 1823 VARIANT]
Elizabeth, [DELstart] who[DELend][ADDstart] She[ADDend]  	 Elizabeth. She 
[ADDstart] ^[ADDend][ADDstart] continually[ADDend] & 	 continually, and 
[DELstart] of all how u[DELend][DELstart] so[DELend]  	[NO 1823 VARIANT]
[DELstart] and[DELend][DELstart] of th[DELend][ADDstart] ^[ADDend]  	[NO 1823 VARIANT]
death— pierce 	 death; her words pierce 
 unhappy 	 unhappy; 
[DELstart] that[DELend]  	[NO 1823 VARIANT]
[DELstart] co[DELend]  	[NO 1823 VARIANT]
[DELstart] come[DELend][ADDstart] return[ADDend] and 	 return and 
 comforter. 	 comforter? 
 Mother! 	 mother! 
 say 	 say, 
[DELstart] this grief[DELend][DELstart] –[DELend][ADDstart] t[ADDend] he cruel 	 the cruel, 
darling. Come, 	 darling!     “Come, 
[DELstart] w[DELend]  	[NO 1823 VARIANT]
 assassin 	 assassin, 
 gentleness 	 gentleness, 
 heal 	 heal, 
 festering 	 festering, 
[DELstart] woul[DELend]  	[NO 1823 VARIANT]
[DELstart] soul[DELend]  	[NO 1823 VARIANT]
 son & friend 	 friend, 
 you & 	 you, and 
 Your 	    “Your 
 & 	 and 
father [DELstart] Al[DELend] Clerval 	 father,     A LPHONSE  F RANKENSTEIN .     “Geneva, May 12th, 17—.”     Clerval, 
 letter 	 letter, 
in observ-  ing 	 to observe 
 table 	 table, 
hands. "My 	 hands.     “My 
 Frankenstien," 	 Frankenstein,” 
[DELstart] hen[DELend]  Henry 	 Henry, 
 saw 	 perceived 
 bitterness "are 	 bitterness, “are 
 "my 	 My 
happened?" I 	 happened?”     I 
[DELstart] read[DELend] take 	 take 
 letter 	 letter, 
 & 	 and 
 most extreme 	 extremest 
[DELstart] and[DELend]  tears 	 Tears 
[DELstart] gush[DELend][ADDstart] ^[ADDend][ADDstart] also[ADDend]  	 gushed 
[DELstart] his[DELend][ADDstart] ^[ADDend][ADDstart] the[ADDend]  	 the 
 of Clerval 	 of Clerval, 
  –"I 	 misfortune.     “I 
 "no 	 no 
 friend," 	 friend,” 
he [DELstart] my[DELend][DELstart] misfortune[DELend][ADDstart] disaster[ADDend]  	 he; “your disaster 
irreperable.[DELstart] "[DELend]  	 irreparable. 
 "do 	 do 
do"? "To 	 do?”     “To 
Geneva[DELstart] "[DELend]  	 Geneva: 
 Clerval, 	 Henry, 
horses" During 	 horses.”     During 
walk [DELstart] C[DELend] oured 	 walk, Clerval endeavoured 
 spirits– 	 spirits. 
 the 	[NO 1823 VARIANT]
[DELstart] conversatio[DELend][DELstart] t[DELend]  	 consolation, but 
shew[ADDstart] i[ADDend] ng 	 exhibiting 
 "Poor William" 	 “Poor William!” 
 "that 	 he, “that 
 "child 	 child; 
 "mother. 	 mother. 
 weep 	 weep, 
 "he 	 he 
 rest 	 rest: 
 "murderers grasp – 	 murderer’s grasp; 
[DELstart] green[DELend]  	[NO 1823 VARIANT]
 "gentle form 	 gentle form, 
pain–He  "can 	 pain. He can 
pity his  "survivors 	 pity; the survivors 
 sufferers 	 sufferers, 
 "for 	 for 
the[DELstart] ir[DELend]  	 the 
 "Those 	 Those 
 stoics 	 Stoics, 
 "was 	 was 
 evil 	 evil, 
 "ought 	 ought 
[DELstart] that[DELend]  	[NO 1823 VARIANT]
 "on 	 on 
 "object 	 object, 
urged – even  "Cato 	 urged. Even Cato 
  	 brother.” 
 this 	 thus 
huried [DELstart] thou[DELend]  	 hurried 
 streets 	 streets; 
[DELstart] memor[DELend] mind 	 mind, 
 afterwads 	 afterwards 
[DELstart] As soon[DELend]  	[NO 1823 VARIANT]
 arrived 	 arrived, 
 Cabriolet 	 cabriole, 
[DELstart] left Ingo[DELend] well 	 bade farewell 
friend. My 	 friend.     My 
 on 	 on, 
 & 	 and 
[ADDstart] with[ADDend] my 	 with my 
 friends 	 friends; 
[DELstart] t[DELend]  	[NO 1823 VARIANT]
 town 	 town, 
sla[ADDstart] ^[ADDend][ADDstart] c[ADDend] kened 	 slackened 
[DELstart] pace[DELend][DELstart] I[DELend][DELstart] C[DELend][ADDstart] progress[ADDend]  	 progress. 
[DELstart] crowed[DELend]  	[NO 1823 VARIANT]
[DELstart] scee[DELend]  	 through 
 youth 	 youth, 
 five years, how 	 six years. How 
[DELstart] during[DELend][ADDstart] since[ADDend][ADDstart] ?[ADDend]  one great 	 during that time! One 
 place 	 place; 
 circumstance 	 circumstances 
[DELstart] sapped[DELend][DELstart] worked[DELend][ADDstart] worked[ADDend]  	[NO 1823 VARIANT]
[DELstart] degreed[DELend]  	[NO 1823 VARIANT]
[DELstart] worked[DELend][DELstart] t[DELend][DELstart] as great[DELend][ADDstart] worked other[ADDend][ADDstart] ^[ADDend][ADDstart] which[ADDend]  	 worked other alterations, which, 
 it might be 	 they were 
 tranquilly would 	 tranquilly, might 
 me 	 me; 
[DELstart] had[DELend][DELstart] N[DELend]  	[NO 1823 VARIANT]
advance [DELstart] fea[DELend]  	 advance, 
[DELstart] thoug[DELend]  	[NO 1823 VARIANT]
tremble [DELstart] while[DELend][ADDstart] although[ADDend]  	 tremble, although 
[DELstart] could not[DELend] was 	 was 
  	 to define them. 
 I 	 I 
[DELstart] thus[DELend]  	 two days 
Lausanne for  two days not daring to proceed. 	 Lausanne, in this painful state of mind. 
 lake – 	 lake: 
 placid – 	 placid; 
 calm 	 calm, 
 Snowy mountains the "Palaces 	 snowy mountains, “the palaces 
Nature"[DELstart] Lord Byron[DELend][ADDstart] XXLord Byron[ADDend] were 	 nature,” were 
 degrees, this 	 degrees the 
[DELstart] proceeded[DELend] continued 	 continued 
 lake 	 lake, 
 town – 	 town. 
 Jura; 	 Jura, 
[ADDstart] ^[ADDend][ADDstart] bright[ADDend] summit 	 bright summit 
 Mount Blanc– 	 Mont Blanc; 
 child– Dear mountains 	 child: “Dear mountains! 
 lake 	 lake! 
 wanderer 	 wanderer? 
 clear 	 clear; 
 is 	 and placid. Is 
[ADDstart] ^[ADDend][ADDstart] to[ADDend] prognosticate peace 	 to prognosticate peace, 
mock[ADDstart] at[ADDend]  	 mock at 
unhappiness? I 	 unhappiness?”     I 
friend [ADDstart] ^[ADDend] that 	 friend, that 
 circumstances 	 circumstances; 
 happiness 	 happiness, 
[DELstart] dwell[DELend][ADDstart] ^[ADDend][ADDstart] think[ADDend][ADDstart] f[ADDend]  	 think of 
 pleasure – 	 pleasure. 
 Country 	 country, 
country Who [ADDstart] ^[ADDend] but 	 country! who but 
native can 	 native can 
[ADDstart] ^[ADDend][ADDstart] r[ADDend] eams 	 streams, 
 mountains and 	 mountains, and, 
 all 	 all, 
lake [DELstart] and[DELend]  	 lake. 
 Yet 	 Yet, 
 home 	 home, 
 me – night 	 me. Night 
[DELstart] me[DELend]  	 around; 
 mountains 	 mountains, 
gloomily I pictured [DELstart] to mysel[DELend][DELstart] f[DELend] evil 	 gloomily. The picture appeared a vast and dim scene of evil, 
 persuaded myself 	 I foresaw obscurely 
[DELstart] the[DELend][DELstart] most[DELend]  	[NO 1823 VARIANT]
w[DELstart] h[DELend] retched 	 wretched 
 beings– 	 beings. 
[DELstart] prho[DELend]  	[NO 1823 VARIANT]
 truly 	 truly, 
only in 	 only in 
circumstance:  	 circumstance, 
[DELstart] of[DELend]  	[NO 1823 VARIANT]
[DELstart] feel[DELend][DELstart] .[DELend]  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] in[ADDend]  	 It was completely dark 
[DELstart] and[DELend] the 	 in the environs of Geneva; the 
 Geneva 	 the town 
[DELstart] closed[DELend][ADDstart] ^[ADDend][ADDstart] shut[ADDend]  	 shut; 
 determined 	 was obliged 
 remain that 	 pass the 
 Secheron 	 Secheron, 
 -ward 	[NO 1823 VARIANT]
[DELstart] night[DELend][ADDstart] sky[ADDend]  	 sky 
[DELstart] very fine[DELend][DELstart] unable[DELend][ADDstart] serene[ADDend]  	 serene; and, 
 rest 	 rest, 
[DELstart] walk toward[DELend][ADDstart] visit[ADDend]  	 visit 
m[ADDstart] y[ADDend] poor 	 my poor 
murdered;  as 	 murdered. As 
 walked 	 could not pass through the town, 
 perceived 	 was obliged to cross the lake in 
storm collecting  on the other side of the lake. 	 boat to arrive at Plainpalais. During this short voyage 
 play 	 playing on the summit of Mont Blanc 
 figures and gained 	 figures. The storm appeared to approach rapidly; and, on landing, I ascended 
 summit 	 low hill, 
[DELstart] the[DELend][ADDstart] ^[ADDend][ADDstart] its[ADDend]  	 its 
advanced [DELstart] slowly and[DELend]  	 advanced; the heavens were clouded, 
 drops 	 drops, 
encreased. I 	 increased.     I 
 seat 	 seat, 
 walk 	 walked 
aug mented 	 increased 
 minute 	 minute, 
[DELstart] violently over[DELend]  	[NO 1823 VARIANT]
head —   	 head. 
Salêve [ADDstart] ^[ADDend][ADDstart] the Jura[ADDend]  	 Salêve, the Juras, 
 Savoy— 	 Savoy; 
[DELstart] and[DELend]  	[NO 1823 VARIANT]
lake; [DELstart] and[DELend] then 	 lake, making it appear like a vast sheet of fire; then 
[DELstart] black[DELend][DELstart] til[DELend][ADDstart] ^[ADDend][ADDstart] darkness[ADDend]  untill 	 darkness, until 
[ADDstart] ^[ADDend][ADDstart] preceeding[ADDend]  	 preceding 
[DELstart] A[DELend]  	[NO 1823 VARIANT]
 storm 	 storm, 
[DELstart] that country[DELend][ADDstart] Switzerland[ADDend]  	 Switzerland, 
[DELstart] was[DELend][ADDstart] hung[ADDend]  	 hung 
[DELstart] noth[DELend]  	[NO 1823 VARIANT]
town [DELstart] and at[DELend][ADDstart] over[ADDend]  	 town, over 
[DELstart] where[DELend] of 	 of 
[DELstart] turns[DELend][ADDstart] ^[ADDend] which 	 which 
between the 	 between the 
[DELstart] changing[DELend][ADDstart] the[ADDend] village 	 the village 
Copet[ADDstart] u[ADDend][ADDstart] s[ADDend]  — another 	 Copêt. Another 
 flashes 	 flashes; 
[DELstart] appeared[DELend]  	[NO 1823 VARIANT]
 the Mole – 	[NO 1823 VARIANT]
name of a 	 Môle, a 
lake. While 	 lake.     While 
 storm – 	 storm, 
 terrific 	 terrific, 
[DELstart] listlessly[DELend] on 	 on 
step – [DELstart] I felt that[DELend][ADDstart] e[ADDend]  	 step. This 
hands & ex  claimed aloud "William, 	 hands, and exclaimed aloud, “William, 
 angel, 	 angel! 
 dirge!"– 	 dirge!” 
words [DELstart] a flash of lightning[DELend] I 	 words, I 
gloom[DELstart] discovered to me[DELend]  	 gloom 
me –  I 	 me; I 
 fixed 	 fixed, 
 intently, 	 intently: 
mista ken a 	 mistaken. A 
 illumined 	 illuminated 
object and 	 object, and 
to me  	 its shape plainly to me; 
gigantc sta[DELstart] n[DELend][DELstart] , its[DELend] & 	 gigantic stature, and 
aspect more 	 aspect, more 
tha[DELstart] man could be[DELend][ADDstart] n[ADDend] belongs 	 than belongs 
humanity[DELstart] explain[DELend]  	 humanity, 
 who 	 that 
[ADDstart] t[ADDend]  	[NO 1823 VARIANT]
conception  	 conception) 
 brother. 	 brother? 
 imagination 	 imagination, 
[ADDstart] ^[ADDend] of 	 of 
truth  — 	 truth; 
 chattered 	 chattered, 
[DELstart] th[DELend]  	[NO 1823 VARIANT]
 support — 	 support. 
 quickly 	[NO 1823 VARIANT]
[DELstart] And[DELend][DELstart] I^could not doubted[DELend][DELstart] not[DELend][DELstart] my[DELend][DELstart] the[DELend][DELstart] thought[DELend][DELstart] was agony^I was agonized by the bare probability[DELend][ADDstart] H[ADDend][ADDstart] ^[ADDend][ADDstart] could not[ADDend][ADDstart] ^[ADDend][ADDstart] I was agonized by the bare probability[ADDend][ADDstart] in[ADDend]  	 Nothing in 
 was 	 He  was 
ir proof 	 irresistible proof 
  — 	 fact. 
pur sueing 	 pursuing 
 devil, 	 devil; 
[ADDstart] ^[ADDend]  	[NO 1823 VARIANT]
 vain 	 vain, 
 hanging 	 hanging 
 Mont-Salêve; he 	 south. He 
 summit 	 summit, 
dissap[ADDstart] e[ADDend] I 	 disappeared.     I 
 motionless the 	 motionless. The 
 ceased 	 ceased; 
continued & the 	 continued, and the 
 inveloped 	 enveloped 
a[DELstart] pitchy[DELend][ADDstart] n[ADDend][ADDstart] ^[ADDend][ADDstart] impenetrable[ADDend] ness. I revolved in my mind 	 an impenetrable darkness. 
in  I resolved 	[NO 1823 VARIANT]
[DELstart] u[DELend] untill now, 	 had until now 
forget.  The 	 forget: the 
my [DELstart] [DELend]  The 	 the creation; the 
creature the 	[NO 1823 VARIANT]
 hands, 	 hands 
side – [ADDstart] &[ADDend]  	 side; 
[DELstart] Its[DELend][DELstart] It was now nearly[DELend]  two 	 Two 
[ADDstart] ^[ADDend] had 	 had 
[DELstart] of[DELend]  	[NO 1823 VARIANT]
 life, 	 life; 
crime – [DELstart] ?[DELend] Alas! 	 crime? Alas! 
[ADDstart] ^[ADDend]  	 had 
 in 	 into 
 wretch 	 wretch, 
[DELstart] deat[DELend][DELstart] For[DELend][ADDstart] for[ADDend]  	 carnage and misery; 
brother? No 	 brother?     No 
 of 	[NO 1823 VARIANT]
 night 	 night, 
spent[ADDstart] ^[ADDend][ADDstart] cold & wet[ADDend]  	 spent, cold and wet, 
[DELstart] cold and wet[DELend] . 	[NO 1823 VARIANT]
th[ADDstart] e[ADDend][ADDstart] ^[ADDend] incovenience 	 the inconvenience 
weather.  	 weather; 
 in 	[NO 1823 VARIANT]
[DELstart] scene[DELend]  	[NO 1823 VARIANT]
 despair 	 despair. 
[DELstart] wretch[DELend][ADDstart] being[ADDend]  	 being 
 in 	[NO 1823 VARIANT]
mankind [DELstart] for pu[DELend] and 	 mankind, and 
& the 	 and 
effect purposes 	 effect purposes 
[DELstart] mischief[DELend] horror 	 horror, 
[DELstart] this[DELend]  	[NO 1823 VARIANT]
had now 	 had now 
[DELstart] ow[DELend]  vampire; 	 own vampire, 
 grave 	 grave, 
 who were 	 that was 
me. Day dawned 	 me.     Day dawned; 
 town – the 	 town. The 
 open 	 open, 
father's [DELstart] s[DELend][DELstart] n[DELend]  	 father’s house. My 
murderer & cause 	 murderer, and cause 
[DELstart] search[DELend]  	[NO 1823 VARIANT]
 what 	 on 
 was 	[NO 1823 VARIANT]
[DELstart] creature[DELend][ADDstart] being[ADDend]  	 being 
 created 	 formed, 
mountain[DELstart] story[DELend]  was utterly improbable 	 mountain. I remembered also the nervous fever with which I had been seized just at the time that I dated my creation, 
 well 	[NO 1823 VARIANT]
[DELstart] related[DELend][ADDstart] communicated[ADDend]  	 communicated 
[DELstart] tale[DELend][ADDstart] ^[ADDend][ADDstart] relation[ADDend]  	 relation 
 me 	 me, 
delirium  Besides 	 insanity. Besides, 
the  elude 	[NO 1823 VARIANT]
far[DELstart] believed[DELend][DELstart] which was[DELend][DELstart] utterly impossible[DELend][ADDstart] ^[ADDend] as 	 far credited as 
[DELstart] its[DELend][DELstart] self[DELend][ADDstart] my[ADDend]  	 my 
it[DELstart] the com[DELend] Besides 	 it. Besides, 
 a 	 arrest a 
[DELstart] that could[DELend] capable 	 capable 
[DELstart] steep[DELend][ADDstart] overhanging[ADDend]  	 overhanging 
 Mont-Salêve? 	 Mount Salêve? 
[ADDstart] ^[ADDend][ADDstart] remain[ADDend] It 	 remain silent.     It 
 fathers 	 father’s 
servant[ADDstart] s[ADDend] not 	 servants not 
 time 	 hour 
 Five 	    Six 
 elapsed–passed 	 elapsed, passed 
  	[NO 1823 VARIANT]
 a 	 the 
 mother 	 mother, 
 mantlepiece. 	 mantelpiece. 
 piece 	 subject, 
 to please 	 at 
 father 	 father’s desire, 
 Beaumont 	 Beaufort 
 despair 	 despair, 
rustic[ADDstart] ,[ADDend] & 	 rustic, and 
 pale 	 pale; 
 beauty 	 beauty, 
[DELstart] allowed of[DELend][ADDstart] ^[ADDend][ADDstart] permitted[ADDend]  	 permitted 
[DELstart] feeling[DELend][ADDstart] sentiment[ADDend]  	 sentiment 
 William, 	 William; 
 it—While 	 it. While 
 engaged 	 engaged, 
 entered– 	 entered: 
 arrive 	 arrive, 
 the greatest 	 a sorrowful 
on seeing  me – "Welcome 	 to see me: “Welcome, 
 Victor," 	 Victor,” 
he,  ah 	 he. “Ah! 
[DELstart] weeks[DELend]  	[NO 1823 VARIANT]
 ago 	 ago, 
 found 	 found 
joy  – 	 joyous and delighted. 
[DELstart] all of us[DELend]  so unhappy that 	 unhappy; and, 
 afraid 	 afraid, 
[DELstart] for[DELend][ADDstart] ^[ADDend] will 	 will 
welcome [ADDstart] ^[ADDend][ADDstart] our[ADDend]  	 welcome. Our 
 sorrowful and it 	 sorrowful: this dreadful event 
sorrow  for 	 grief on 
Mamma and poor Eliza beth 	 mamma. Poor Elizabeth, also, 
 inconsolable." 	 inconsolable.” 
